pmid	relevance	biogrid	contains_interactions	pablo_comment	round
24736547	0.0281931084673497	no	no		rd2
22272266	0.0281931084673497	no	no		rd2
25032869	0.0281931084673497	no	no		rd2
20028516	0.0280726039385744	yes	yes		rd2
25896913	0.0261592895067475	no	no		rd2
27581363	0.0248337119179721	no	yes		rd2
26687445	0.02378576410413	no	yes		rd2
23455675	0.0195624230870009	yes	yes		rd2
18673564	18.16147114	no	no	cites large PPI study and analyzes interactions	rd3
22231447	17.69961291	no	yes		rd3
19703986	16.98323571	no	no	unspecific RNA-protein interactions	rd3
6090951	16.85766524	no	no		rd3
20865117	16.8138957	no	no		rd3
19936222	16.77404549	no	no		rd3
19042971	16.76228718	no	yes	ChIP data	rd3
20100910	16.76034777	no	yes		rd3
16316467	16.74587871	no	no		rd3
26714015	16.62023617	no	yes		rd3
19187526	16.58327307	no	yes		rd3
7624324	16.49595839	no	yes		rd3
21615552	16.39131667	no	yes		rd3
15647107	16.33713362	no	yes		rd3
21552547	16.22175822	no	no		rd3
22028885	16.16805836	no	no	non-curatable kinase assay	rd3
27846260	16.13916971	no	no	interaction mentioned in abstract, no data	rd3
22069485	16.11377522	no	yes		rd3
20157423	15.94283353	no	yes		rd3
23671573	15.8705147	no	yes		rd3
16059745	9.99862731	no	no		rd3
16109918	9.997593542	no	no	antigen-antibody interaction	rd3
20818396	9.997430644	no	yes		rd3
1356634	9.996844021	no	no		rd3
17576689	9.995505543	no	yes		rd3
23213356	9.993165184	no	yes		rd3
18001466	9.991995245	no	no		rd3
22084573	9.991560253	no	yes		rd3
16778136	9.990969679	no	yes		rd3
15572351	9.987918671	yes	yes		rd3
25622105	10.49684778	no	yes	REMSA data	rd3
20462955	10.49298972	no	yes		rd3
20221258	10.49287002	no	no	computational paper on PPI analysis	rd3
17349958	10.49218657	no	no	contains non-curatable phosphorylation data using IP approach	rd3
18021410	10.49039554	no	no		rd3
10037723	10.48945975	yes	yes		rd3
10393177	10.48945975	no	yes		rd3
10671565	10.48945975	no	no		rd3
12695525	10.48945975	yes	yes		rd3
15001692	10.48945975	yes	yes		rd3
17690115	6.999952459	no	yes		rd3
16244670	6.999891806	no	yes	ChIP data	rd3
17202468	6.997994206	no	yes		rd3
11106648	6.997190096	no	yes		rd3
12496250	6.996474131	no	yes		rd3
21917897	6.996404861	no	no	Interaction analysis done with InnateDB data	rd3
18020452	6.996354429	no	yes		rd3
11134231	6.996274357	no	no	Ca+-mediated activation / trasnport presented as interaction	rd3
17010654	6.995686031	no	yes		rd3
16254078	6.995227778	no	yes	NA-protein interactions	rd3
10064069	6.954714055	no	yes		rd3
10067895	6.954714055	no	yes		rd3
10085094	6.954714055	yes	yes		rd3
10085131	6.954714055	no	yes		rd3
10090723	6.954714055	yes	yes		rd3
10195903	6.954714055	no	yes		rd3
10197981	6.954714055	no	yes		rd3
10206975	6.954714055	no	no		rd3
10329850	6.954714055	no	yes		rd3
10342886	6.954714055	no	no / NA	full article not available, seems to be referred to protein-cell binding	rd3
21253017	4.999108425	no	no		rd3
1730090	4.998501264	no	yes	NA-protein interactions	rd3
11685558	4.998501264	no	no		rd3
18701462	4.998142368	no	yes		rd3
7929391	4.998104648	no	yes		rd3
21572956	4.99782083	no	no		rd3
8095360	4.997022949	no	no / NA	full article not available, seems to be referred to protein complex-cell binding	rd3
18838553	4.996492604	no	yes		rd3
15270695	4.994461001	no	yes		rd3
11108261	4.993315937	no	no		rd3
24286029	0.999537726	no	yes		rd3
27790974	0.999537726	no	yes		rd3
28445932	0.999268176	no	yes		rd3
23706036	0.999268176	no	no		rd3
27642012	0.999268176	no	yes		rd3
18617529	0.999268176	no	no	DNA-DNA interactions, not the kind of data we capture	rd3
21270437	0.999268176	no	yes	ChIP data	rd3
22986534	0.999268176	no	yes	ChIP data	rd3
23027905	0.999268176	no	yes		rd3
23762244	0.999268176	no	yes	ChiP data - ChIP seq large dataset, not really curatable	rd3
28450907	0.573307272	no	no		rd3
28451253	0.573307272	no	no		rd3
28453729	0.573307272	no	no		rd3
28458520	0.573307272	no	no		rd3
28468127	0.573307272	no	yes		rd3
28472098	0.573307272	no	no		rd3
28500307	0.573307272	no	yes	ChIP data	rd3
28506239	0.573307272	no	no		rd3
28508041	0.573307272	no	yes	ChIP data	rd3
28514955	0.573307272	no	no	aptamer-bacteria interactions	rd3
