pmid	relevance	IMEX	coverage	Proteins	Protein interest	Combined_score	contains_interactions	pablo_comment	biogrid	round
25293974	0.749686932	false	1	P24941|P29590	0.001468126	0.000550318	yes		no	rd1
17332776	0.749686932	false	1	P04049|P68104	0.001462234	0.000548109	yes		yes	rd1
25242525	0.749686932	false	1	Q7L5N1	0.001461988	0.000548017	yes	crystal, homodimers	yes	rd1
9845526	0.749686932	false	2	Q92692	0.002192982	0.000548017	yes		yes	rd1
11546794	0.749686932	false	3	P21860|P27986|P21860|Q13153	0.002919994	0.00054727	yes		yes	rd1
8276809	0.749686932	false	1	P06213|P27986	0.001459227	0.000546982	yes		no	rd1
9461588	0.749686932	false	1	P06213|P27986	0.001459227	0.000546982	yes		no	rd1
19200342	0.749686932	false	1	P17612|P39019	0.001458795	0.00054682	yes		no	rd1
12016217	0.749686932	false	1	P28482|P51812	0.00145861	0.000546751	yes		yes	rd1
10713049	0.749686932	false	2	P00519|P17252|P00519|Q05655	0.002185977	0.000546266	yes		no	rd1
9228024	0.500042538	false	0	A0A024R0D2|B3KTQ4|A0A024R0D2|O75752|A0A024R0D2|Q49AT3|A0A024R0D2|Q7L9G8|A0A024R0D2|Q8TDY1|B1ALD0|B3KTQ4|B1ALD0|O75752|B1ALD0|Q49AT3|B1ALD0|Q7L9G8|B1ALD0|Q8TDY1|B3KSJ4|B3KTQ4|B3KSJ4|O75752|B3KSJ4|Q49AT3|B3KSJ4|Q7L9G8|B3KSJ4|Q8TDY1|B3KTQ4|B4DTG3|B3KTQ4|Q9Y6B7|B4DTG3|O75752|B4DTG3|Q49AT3|B4DTG3|Q7L9G8|B4DTG3|Q8TDY1|O75752|Q9Y6B7|Q49AT3|Q9Y6B7|Q7L9G8|Q9Y6B7|Q8TDY1|Q9Y6B7	40.10796388	20.05568806	no	binding mentioned, enzyme activty measured	no	rd1
22053213	0.500042538	false	0	A0A024RBH2|A0A0C4DFS1|A0A024RBH2|B7Z2I3|A0A024RBH2|E7BSV0|A0A024RBH2|E9PFD7|A0A024RBH2|F2YGG7|A0A024RBH2|H0YIS1|A0A024RBH2|P00533|A0A024RBH2|P13942|A0A024RBH2|P31947|A0A024RBH2|Q4VXY6|A0A024RBH2|Q504U8|A0A0C4DFS1|Q07065|B7Z2I3|Q07065|E7BSV0|Q07065|E9PFD7|Q07065|F2YGG7|Q07065|H0YIS1|Q07065|P00533|Q07065|P13942|Q07065|P31947|P60709|P31947|Q07065|P31947|Q1KLZ0|Q07065|Q4VXY6|Q07065|Q504U8	25.2898409	12.64599624	yes	ChIP data	no	rd1
15492845	0.500042538	false	0	A0A087X2I4|P46531|A0A087X2I4|Q04721|A0A087X2I4|Q6IQ50|A0A087X2I4|Q9UFD5|A0A140VJW2|P46531|A0A140VJW2|Q04721|A0A140VJW2|Q6IQ50|A0A140VJW2|Q9UFD5|P16949|P46531|P16949|Q04721|P16949|Q6IQ50|P16949|Q9UFD5|P28072|P46531|P28072|Q04721|P28072|Q6IQ50|P28072|Q9UFD5|P46531|Q6IAT9|P46531|Q9BXP5|Q04721|Q6IAT9|Q04721|Q9BXP5|Q6IAT9|Q6IQ50|Q6IAT9|Q9UFD5|Q6IQ50|Q9BXP5|Q9BXP5|Q9UFD5	22.07023336	11.03605551	no	interaction mentioned in abstract, but referred to older paper	no	rd1
15629458	0.500042538	false	0	A0A0A0MS51|O75083|A0A0A0MS51|Q5VWQ8|A0A0A0MS51|V9HWG7|A0A0A0MT01|O75083|A0A0A0MT01|Q5VWQ8|A0A0A0MT01|V9HWG7|A6NI47|O75083|A6NI47|Q5VWQ8|A6NI47|V9HWG7|B7Z4U6|O75083|B7Z4U6|Q5VWQ8|B7Z4U6|V9HWG7|O75083|P06396|P06396|Q5VWQ8|P06396|V9HWG7	17.03819968	8.519824616	yes	could not be 100% ascertained, paper behind paywall	no	rd1
9662395	0.500042538	false	0	A0A024R525|A0A0C4DGE9|A0A024R525|A0A0S2Z4M4|A0A024R525|A0A0S2Z579|A0A024R525|B7Z1N8|A0A024R525|B7Z375|A0A024R525|O76090|A0A0C4DGE9|P02794|A0A0S2Z4M4|P02794|A0A0S2Z579|P02794|B7Z1N8|P02794|B7Z375|P02794|O76090|P02794	16.04615924	8.023762195	no	interaction used in a different context (genetic interaction)	no	rd1
8567687	0.500042538	false	0	A0A024R2D8|A0A024R757|A0A024R2D8|A9XTE5|A0A024R2D8|Q03135|A0A024R2D8|Q2TNI1|A0A024R2D8|Q59E85|A0A024R2D8|Q7Z4F3|A0A024R757|P56539|A9XTE5|P56539|P56539|Q03135|P56539|Q2TNI1|P56539|Q59E85|P56539|Q7Z4F3	16.02723975	8.014301645	no	interaction mentioned in abstract, but referred to older paper	no	rd1
18818748	0.500042538	false	0	A0A024R9X9|P26599|B3SXS2|P26599|B3TIK8|P26599|B4DN26|P24387|B4DN26|P26599|G3CIS4|P26599|K7EKM5|P24387|K7EKM5|P26599|K9J956|P26599|O00325|P26599|P00750|P24387|P00750|P26599|P05113|P24387|P05113|P26599|P24387|P26599|P24387|Q38L15|P24387|Q9NP99|P26599|P34998|P26599|P43115|P26599|Q38L15|P26599|Q9NP99	12.30741084	6.154228956	no	interaction used in a different context (genetic interaction)	no	rd1
19069310	0.500042538	false	0	D6RBW1|P01375|D6RBW1|Q5STB3|P01375|P06730|P01375|Q32Q75|P01375|X5D7E3|P06730|Q5STB3|Q32Q75|Q5STB3|Q5STB3|X5D7E3	10.00602774	5.003439507	no	review	no	rd1
10550206	0.500042538	false	0	A0A024R880|A0A024RB49|A0A024R880|Q15633|A0A024RB49|A8K4M5|A0A024RB49|O60563|A0A024RB49|P50750|A8K4M5|Q15633|O60563|Q15633|P50750|Q15633	8.018286465	4.009484317	no	review	no	rd1
2438332	0.500042538	false	0	A0A173ADG5|Q01658|A0A173ADG5|Q658N3|P01909|Q01658|P01909|Q658N3|Q01658|Q8MH44|Q658N3|Q8MH44	5.02802581	2.514226789	no / NA	could not be 100% ascertained, paper behind paywall	no	rd1
21629263	1.34715118241602	false	1	P36897	0.008771929824561403	0.005908557817614122	yes		no	rd2
11756467	1.3093521997086	false	0	P12931|P35221	0.00993114406779661	0.013003365330792504	yes		no	rd2
15507451	1.29515124497847	false	1	Q9NR09	0.014925373134328358	0.00966530779834679	yes		yes	rd2
21385873	1.28764671259974	false	2	O14744|Q8WYA6|O43660|P52294|Q9UMS4|Q8WWY3|Q9NR30	0.05255337132066445	0.022556725272362344	yes		yes	rd2
11034606	1.27662047922837	false	1	Q12923|Q13158	0.022738446411012782	0.014514183177067872	yes		yes	rd2
20457750	1.23939035771926	false	2	P12004|Q53H47	0.06123316796598157	0.025297265983213812	yes		yes	rd2
18590578	1.19829061040309	false	2	P45973|Q14186	0.012348915101208679	0.004932529671481094	yes		yes	rd2
25149538	1.15436528321076	false	1	P06493	0.003472222222222222	0.0020041063944631248	yes		yes	rd2
19487455	1.08791993328586	false	2	O14746|Q9NVN8	0.028620689655172414	0.010379006260083493	yes		yes	rd2
19232515	1.06437091882729	false	1	O43318|Q969U6	0.016470971950424004	0.00876561177442566	yes		yes	rd2
9334164	0.752628361253442	false	1	P01127|P07996	0.048642533936651584	0.01830487530197851	yes		yes	rd2
10209123	0.752628361253442	false	1	P20340|Q92805	0.04195240016135539	0.01578728309204477	yes		yes	rd2
22907656	0.752628361253442	false	1	Q8IY92|Q9H816	0.03929045092838196	0.014785553847568446	yes		yes	rd2
21278419	0.752628361253442	false	1	P51608|Q16777	0.02348901098901099	0.008839247924061716	yes		yes	rd2
19047179	0.752628361253442	false	1	P16455|P51587	0.022592592592592595	0.008501912969714809	yes		yes	rd2
10619021	0.752628361253442	false	1	P10242|P51531	0.018997224149895905	0.007148924840150234	yes		yes	rd2
20504995	0.752628361253442	false	1	P25490|P51608	0.017330917874396137	0.006521870159412376	yes		yes	rd2
19647793	0.752628361253442	false	1	P18847|P42224	0.01577728457010518	0.0059372159155137395	yes		yes	rd2
8626413	0.752628361253442	false	1	P06401|Q04206	0.01267788348140577	0.004770867334386254	yes		yes	rd2
9230816	0.752628361253442	false	1	P01375|P07948	0.010998448581560284	0.00413887216613498	yes		yes	rd2
25366495	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25380047	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25384975	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25384981	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25385192	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25388970	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25404403	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25404732	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25408501	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
25411243	0.74876594375556	false	1		0.0	0.0	yes		yes	rd2
18337501	0.501078524670627	false	1	P52848|Q16394|Q93063	0.18207934336525305	0.045618024373228754	yes		no	rd2
21603163	0.500919772576452	false	0	P13232|P24394|P15248|P22301|P40933	0.5001152073732719	0.2505175959394445	yes		yes	rd2
10779323	0.500893124872232	false	0	P01100|P45983	0.007105064247921391	0.0035588778335593207	yes	mostly DNA-protein interactions	no	rd2
1461721	0.500817404874094	false	0	P20226|Q12789	0.013885554221688676	0.0069541272305446425	yes?	very old paper, evidence might not be good enough for IMEx	no	rd2
8505282	0.500582271218643	false	1	P06213|Q92835	0.02282608695652174	0.0057131672258649464	yes		yes	rd2
19038973	0.500515745085731	false	1	P09544|Q9NPG1	0.1534090909090909	0.038391832719644144	yes		no	rd2
12210728	0.500511739024622	false	1	O14920|O15360	0.014692982456140351	0.0036770051002905342	yes		yes	rd2
14662749	0.500393707313113	false	1	O00471|P62330	0.015203243358583165	0.0038038036536924462	yes		yes	rd2
10583507	0.500181416482861	false	1	O15198	0.004545454545454545	0.0011367759465519566	yes		yes	rd2
14987413	0.499973476156461	false	0	P21549|Q9UBQ7	0.05334281650071124	0.026669993393836824	no	clinical review	no	rd2
14643060	0.349980280730363	false	0	P07954|Q99643	0.07484567901234568	0.02619451175219538	no	review	no	rd2
15260889	0.349911774473611	false	0	P11388|P12004	0.009872325121381047	0.0034544428014028493	no		no	rd2
15264216	0.34963117939318	false	0	P04629|P48736|P08138	0.03970009289158225	0.013880390299702705	yes?	lipid-protein interaction in ezymatic assay, 'interaction' used frequently in text in context of genetic interaction	no	rd2
9677319	0.349617435455346	false	3	P55042	0.06666666666666667	0.0058269572575891	yes		no	rd2
18573876	0.349617435455346	false	1	P16471	0.047619047619047616	0.008324224653698715	yes		yes	rd2
15932940	0.349617435455346	false	1	O15265	0.007194244604316547	0.001257616674299806	yes		yes	rd2
20085538	0.349489550487495	false	1	P62195|Q9NPP4	0.04116926844199571	0.007194114560846048	yes		yes	rd2
11940591	0.349489550487495	false	1	Q09472|Q6ZW49	0.004957908369758783	0.0008663685837525932	yes		yes	rd2
15314026	0.349489550487495	false	0	P51582|P51679	0.5833333333333334	0.20386890445103878	yes		no	rd2
