pmid	relevance	known	contains_interactions	pablo_comment	round
18673564	18.16147114	no	no	cites large PPI study and analyzes interactions	rd3
22231447	17.69961291	no	yes		rd3
19703986	16.98323571	no	no	unspecific RNA-protein interactions	rd3
6090951	16.85766524	no	no		rd3
20865117	16.8138957	no	no		rd3
19936222	16.77404549	no	no		rd3
19042971	16.76228718	no	yes	ChIP data	rd3
20100910	16.76034777	no	yes		rd3
16316467	16.74587871	no	no		rd3
26714015	16.62023617	no	yes		rd3
19187526	16.58327307	no	yes		rd3
7624324	16.49595839	no	yes		rd3
21615552	16.39131667	no	yes		rd3
15647107	16.33713362	no	yes		rd3
21552547	16.22175822	no	no		rd3
22028885	16.16805836	no	no	non-curatable kinase assay	rd3
27846260	16.13916971	no	no	interaction mentioned in abstract, no data	rd3
22069485	16.11377522	no	yes		rd3
20157423	15.94283353	no	yes		rd3
23671573	15.8705147	no	yes		rd3
16059745	9.99862731	no	no		rd3
16109918	9.997593542	no	no	antigen-antibody interaction	rd3
20818396	9.997430644	no	yes		rd3
1356634	9.996844021	no	no		rd3
17576689	9.995505543	no	yes		rd3
23213356	9.993165184	no	yes		rd3
18001466	9.991995245	no	no		rd3
22084573	9.991560253	no	yes		rd3
16778136	9.990969679	no	yes		rd3
15572351	9.987918671	yes	yes		rd3
25622105	10.49684778	no	yes	REMSA data	rd3
20462955	10.49298972	no	yes		rd3
20221258	10.49287002	no	no	computational paper on PPI analysis	rd3
17349958	10.49218657	no	no	contains non-curatable phosphorylation data using IP approach	rd3
18021410	10.49039554	no	no		rd3
10037723	10.48945975	yes	yes		rd3
10393177	10.48945975	no	yes		rd3
10671565	10.48945975	no	no		rd3
12695525	10.48945975	yes	yes		rd3
15001692	10.48945975	yes	yes		rd3
17690115	6.999952459	no	yes		rd3
16244670	6.999891806	no	yes	ChIP data	rd3
17202468	6.997994206	no	yes		rd3
11106648	6.997190096	no	yes		rd3
12496250	6.996474131	no	yes		rd3
21917897	6.996404861	no	no	Interaction analysis done with InnateDB data	rd3
18020452	6.996354429	no	yes		rd3
11134231	6.996274357	no	no	Ca+-mediated activation / trasnport presented as interaction	rd3
17010654	6.995686031	no	yes		rd3
16254078	6.995227778	no	yes	NA-protein interactions	rd3
10064069	6.954714055	no	yes		rd3
10067895	6.954714055	no	yes		rd3
10085094	6.954714055	yes	yes		rd3
10085131	6.954714055	no	yes		rd3
10090723	6.954714055	yes	yes		rd3
10195903	6.954714055	no	yes		rd3
10197981	6.954714055	no	yes		rd3
10206975	6.954714055	no	no		rd3
10329850	6.954714055	no	yes		rd3
10342886	6.954714055	no	no / NA	full article not available, seems to be referred to protein-cell binding	rd3
21253017	4.999108425	no	no		rd3
1730090	4.998501264	no	yes	NA-protein interactions	rd3
11685558	4.998501264	no	no		rd3
18701462	4.998142368	no	yes		rd3
7929391	4.998104648	no	yes		rd3
21572956	4.99782083	no	no		rd3
8095360	4.997022949	no	no / NA	full article not available, seems to be referred to protein complex-cell binding	rd3
18838553	4.996492604	no	yes		rd3
15270695	4.994461001	no	yes		rd3
11108261	4.993315937	no	no		rd3
24286029	0.999537726	no	yes		rd3
27790974	0.999537726	no	yes		rd3
28445932	0.999268176	no	yes		rd3
23706036	0.999268176	no	no		rd3
27642012	0.999268176	no	yes		rd3
18617529	0.999268176	no	no	DNA-DNA interactions, not the kind of data we capture	rd3
21270437	0.999268176	no	yes	ChIP data	rd3
22986534	0.999268176	no	yes	ChIP data	rd3
23027905	0.999268176	no	yes		rd3
23762244	0.999268176	no	yes	ChiP data - ChIP seq large dataset, not really curatable	rd3
28450907	0.573307272	no	no		rd3
28451253	0.573307272	no	no		rd3
28453729	0.573307272	no	no		rd3
28458520	0.573307272	no	no		rd3
28468127	0.573307272	no	yes		rd3
28472098	0.573307272	no	no		rd3
28500307	0.573307272	no	yes	ChIP data	rd3
28506239	0.573307272	no	no		rd3
28508041	0.573307272	no	yes	ChIP data	rd3
28514955	0.573307272	no	no	aptamer-bacteria interactions	rd3
22442688	21.50570516	yes	yes		rd4
12556241	20.9350913	yes	yes		rd4
15522123	19.09176584	yes	yes		rd4
11818025	18.24425918	yes	yes		rd4
17311814	16.82007143	yes	yes		rd4
19142223	16.61713391	yes	yes		rd4
21148148	16.56957201		yes		rd4
18430226	16.33062306	yes	yes		rd4
20427290	16.32302148	yes	yes		rd4
20035625	16.11309963		yes		rd4
16397295	16.1095505	yes	yes		rd4
12578912	15.93863891	yes	yes		rd4
21789191	15.90987013	yes	yes		rd4
17620406	15.68484126	yes	yes		rd4
18828880	15.36655109	yes	yes		rd4
12963706	15.2896221	yes	yes		rd4
12427871	14.95977022		yes		rd4
18160415	14.95468143	yes	yes		rd4
21383955	14.93259837	yes	yes		rd4
21745816	14.9183172	yes	yes		rd4
12021315	14.85672707		yes		rd4
21826244	14.67437039		yes		rd4
18281698	14.57560147		yes		rd4
17175537	14.50847302		yes		rd4
17178910	14.37092641		yes		rd4
26352593	14.29093814		yes		rd4
17693435	14.25329703		yes		rd4
12509223	14.17320274		yes		rd4
18559666	14.12938955		yes		rd4
22904170	14.03327096		yes		rd4
15004009	9.566712074	yes	yes		rd4
9405383	9.515111704	yes	yes		rd4
16979770	9.555633125		yes		rd4
10551883	9.418246282	yes	yes		rd4
20082125	9.389303323	yes	yes		rd4
15134578	9.531997104		no		rd4
27013495	9.513731368	yes	yes		rd4
12393859	9.515111704		yes		rd4
12167717	9.555633125		yes	kinase assays with coIPed proteins, partially purified	rd4
15937332	9.333065084	yes	yes		rd4
18048363	8.95363434	yes	yes		rd4
18519672	8.991819582		yes		rd4
20740684	8.9947371		yes		rd4
10207020	8.947851327	yes	yes		rd4
11029585	8.871670753	yes	yes		rd4
25331947	8.536387944	yes	yes		rd4
1674604	8.869038202	yes	yes		rd4
16401880	8.958436869		no	review	rd4
17684057	8.742713767	yes	yes		rd4
16818604	8.843056563	yes	yes		rd4
20149875	6.576279286		yes		rd4
8900209	6.576279286		yes		rd4
8163498	6.576279286		yes	possibly not curatable, only abstract accessible	rd4
22001259	6.576279286		yes		rd4
25295537	6.576279286	yes	yes		rd4
19545277	6.576279286	yes	yes		rd4
20972445	6.576279286	yes	yes		rd4
11160317	6.576279286		no		rd4
12624089	6.576279286		yes?	insulin formation, two chains interacting	rd4
26002965	6.576279286	yes	yes		rd4
22125427	6.460333258		no	review	rd4
10480866	6.449510664		yes		rd4
20712893	6.050044396		no		rd4
24260471	6.470125016		yes		rd4
19573245	6.355567816		no	computational paper	rd4
20043841	6.425825892		yes		rd4
12943698	6.495309663		yes		rd4
11438518	6.010984322	yes	yes		rd4
10224118	6.380669234	yes	yes		rd4
27827364	6.375436032		yes		rd4
20711761	4.663688403		no		rd4
15846369	4.734390246		yes?	Interaction with heparan sulfate proteoglycans	rd4
16100442	4.669426503		no		rd4
19805511	4.658518289		yes		rd4
1825786	4.723890205		yes		rd4
10607706	4.632528834		no		rd4
18783614	4.642928141		no		rd4
17892993	4.678970432		no		rd4
8503013	4.668688831		yes		rd4
19264844	4.741194525		yes	ChIP data	rd4
12498690	2.526802265	yes	yes		rd4
15105826	2.543969678		yes		rd4
23987506	2.5284856		yes		rd4
11929972	2.46120689		yes?		rd4
22411985	2.255949925		yes		rd4
21850219	2.459752809		no		rd4
3335778	2.477167585		no	antibody binding assay	rd4
18601530	2.454561453		yes		rd4
16895604	2.476178715		no		rd4
17230227	2.477468631		no		rd4
22558368	0.78127705		no		rd4
24717973	1.20606423		no		rd4
21422232	1.167873359		yes		rd4
22492994	1.179138541	yes	yes		rd4
22174879	0.929228435		no		rd4
12235124	1.050135404		yes		rd4
26484567	0.846849668		yes	ChIP data	rd4
26002056	1.140633655		no		rd4
26457123	1.102687217		no		rd4
27164138	1.112195592		no		rd4
28479722	0.78127705		no		rd4
28496107	0.78127705		no		rd4
28529621	0.78127705		no		rd4
28540297	0.78127705		no		rd4
3305576	0.78127705		yes?	contains interaction data, but paper very old and cannot be curated	rd4
7615564	0.78127705		yes		rd4
7836374	0.78127705		no		rd4
8321198	0.78127705		yes		rd4
19942609	0.752529738		no		rd4
19753100	0.677845806		no		rd4
